SonnenStdtApril2021   KW
0.5                 15.2
4.7                 21.7
12                  58.2
13.9                66.6
10                  53.4
5.3                 37.7
8.8                 36.9
9.6                 47.8
5.7                 38.9
8.9                 53.7
11.6                58.9
4.9                 23
0.7                 13.4
1.4                 26.3
8.8                 34.5
7.5                 46.4
7.8                 37.2
3.9                 26.9
5.2                 30.6
1.2                 19.8
9.1                 34.5
2.5                 27.7
2.9                 25.3
6.7                 36.4
3.0                 19.1
8.7                 40.9
9.7                 51.4
6.2                 50.7
3.8                 18.7
